Kanton,Unfall,Fatal,Injured,heavy_Injured,anzahl_Fahrzeuge
AG,1191,15,887,289,473792
AI,27,1,19,7,12731
AR,85,1,66,18,40323
BE,2462,26,1949,487,704213
BL,469,8,372,89,183349
BS,327,2,245,80,85609
FR,543,11,396,136,216907
GE,1181,10,809,362,294831
GL,93,2,75,16,29642
GR,498,12,418,68,148082
JU,115,1,86,28,54170
LU,967,7,761,199,271895
NE,280,6,223,51,119146
NW,82,3,67,12,33446
OW,58,2,47,9,29505
SG,980,23,763,194,352182
SH,148,2,121,25,58202
SO,620,10,519,91,192364
SZ,292,4,230,58,121381
TG,609,8,523,78,210142
TI,954,13,704,237,291517
UR,123,5,97,21,25704
VD,1782,34,1331,417,494475
VS,498,17,233,248,263102
ZG,254,1,199,54,91368
ZH,2835,33,2217,585,895564
